Month	Price
03/01/15	2.03
04/01/15	2.03
05/01/15	1.93
06/01/15	1.99
07/01/15	1.92
08/01/15	1.89
09/01/15	1.8
10/01/15	1.82
11/01/15	1.8
12/01/15	1.75
01/01/16	1.65
02/01/16	1.63
03/01/16	1.67
04/01/16	1.77
05/01/16	1.85
06/01/16	1.89
07/01/16	2
08/01/16	2.02
09/01/16	2.14
10/01/16	2.29
11/01/16	2.29
12/01/16	2.25
01/01/17	2.39
02/01/17	2.35
03/01/17	2.35
04/01/17	2.28
05/01/17	2.17
06/01/17	2.25
07/01/17	2.31
08/01/17	2.3
09/01/17	2.19
10/01/17	2.17
11/01/17	2.01
12/01/17	1.93
01/01/18	1.95
02/01/18	1.97
03/01/18	1.94
04/01/18	1.95
05/01/18	1.96
