Month	Price
02/01/15	3.94
03/01/15	3.54
04/01/15	3.62
05/01/15	3.49
06/01/15	3.52
07/01/15	3.41
08/01/15	3.46
09/01/15	3.22
10/01/15	3.38
11/01/15	3.26
12/01/15	3.28
01/01/16	3.2
02/01/16	3.26
03/01/16	3.47
04/01/16	3.4
05/01/16	3.42
06/01/16	3.65
07/01/16	3.79
08/01/16	3.69
09/01/16	3.89
10/01/16	3.95
11/01/16	4.06
12/01/16	3.57
01/01/17	3.72
02/01/17	3.67
03/01/17	3.53
04/01/17	3.43
05/01/17	3.31
06/01/17	3.16
07/01/17	3.3
08/01/17	3.3
09/01/17	3.23
10/01/17	3.1
11/01/17	3.11
12/01/17	3.03
01/01/18	3.06
02/01/18	3
03/01/18	2.98
04/01/18	2.96
05/01/18	2.99
