Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Niger, 2.29 , 1.09 , 0.79 , 8.91 , 6.01 , 8.61 , 5.49 , 10.20 , 11.12 , 7.11 , 9.41 , 10.51 , 17.47 , 9.61 , 12.99 , 11.39 , 20.93 , 29.00 , 25.72 , 27.65 , 13.23 , 18.95 , 18.00 , 24.00 , 24.00 , 25.00 , 12.00 
Sao Tome and Principe, -   , 0.00 , 0.01 , 0.02 , 0.01 , 0.01 , 0.04 , 0.02 , 0.01 , 0.04 , -   , 0.00 , 0.04 , 0.09 , 0.00 , 0.02 , 0.12 , 0.05 , 0.03 , 0.25 , 0.00 , 0.04 , -   , -   , -   , -   , -   
Senegal, 63.17 , 53.47 , 54.86 , 34.45 , 10.11 , 20.19 , 11.19 , 26.79 , 33.12 , 35.96 , 33.71 , 39.24 , 41.21 , 56.90 , 35.37 , 45.74 , 49.76 , 43.57 , 39.62 , 53.68 , 33.20 , 43.49 , 41.00 , 50.00 , 58.00 , 84.00 , 157.00 
Seychelles, 0.42 , 0.32 , 0.70 , 0.77 , 0.83 , 0.89 , 0.75 , 1.07 , 0.50 , 0.70 , 1.01 , 0.37 , 0.70 , 0.54 , 0.81 , 0.68 , 0.82 , 1.20 , 9.99 , 9.28 , 12.79 , 1.99 , 1.00 , 1.00 , 2.00 , 4.00 , 4.00 
Somalia, 8.00 , 0.03 , 0.27 , 0.14 , 0.05 , 0.28 , -   , 0.01 , -   , 0.44 , 0.35 , 0.13 , 1.65 , 0.88 , 1.14 , 4.19 , 1.79 , 1.41 , 2.04 , 0.17 , 0.10 , 0.52 , 2.00 , 2.00 , -   , 2.00 , 1.00 
"South Africa, Rep.of", 286.50 , 281.88 , 337.60 , 402.93 , 344.65 , 324.12 , 327.95 , 322.98 , 351.42 , 333.90 , 412.78 , 337.24 , 370.39 , 401.52 , 436.28 , 476.81 , 567.42 , 464.52 , 573.66 , 417.17 , 592.96 , 573.28 , 542.00 , 545.00 , 635.00 , 697.00 , 644.00 
Sudan, 55.50 , 130.30 , 103.33 , 69.77 , 71.97 , 80.33 , 106.62 , 100.35 , 135.72 , 160.59 , 128.51 , 177.78 , 223.64 , 118.65 , 390.48 , 399.10 , 362.65 , 500.52 , 579.49 , 564.59 , 659.50 , 572.41 , 412.00 , 796.00 , 690.00 , 594.00 , 641.00 
Swaziland, 5.00 , 5.00 , 13.05 , 16.47 , 5.15 , 3.00 , 2.29 , 7.03 , 9.85 , 8.91 , 22.65 , 10.73 , 19.32 , 59.28 , 18.37 , 17.40 , 10.44 , 19.27 , 22.25 , 22.25 , 22.25 , 7.39 , 7.00 , 26.00 , 9.00 , 16.00 , 12.00 
Afghanistan, 0.25 , 0.25 , 0.25 , 0.25 , 0.25 , 0.25 , 0.87 , 2.90 , 1.00 , 1.50 , 2.93 , 3.43 , 0.96 , 4.25 , 1.13 , 2.59 , 2.01 , 3.40 , 9.68 , 5.71 , 9.66 , 1.04 , 5.00 , 3.00 , 8.00 , 12.00 , 11.00 
Armenia, -   , -   , 2.50 , 2.50 , 2.60 , 30.64 , 54.21 , 58.75 , 104.33 , 115.94 , 135.79 , 181.50 , 183.44 , 178.85 , 210.59 , 197.63 , 170.93 , 187.79 , 212.08 , 183.80 , 201.40 , 191.49 , 188.00 , 207.00 , 194.00 , 201.00 , 207.00 
Australia, 745.91 , 788.98 , 850.73 , 802.01 , 843.79 , 808.09 , 844.57 , 898.57 , 928.57 , 976.61 , 921.42 , 898.34 ," 1,120.59 "," 1,003.79 "," 1,004.19 "," 1,199.50 "," 1,173.97 "," 1,197.35 "," 1,278.67 "," 1,362.36 "," 1,513.54 "," 1,563.97 "," 1,766.00 "," 1,667.00 "," 1,681.00 "," 1,920.00 "," 1,881.00 "
Azerbaijan, -   , -   , 2.00 , 2.00 , 4.37 , 0.73 , 1.33 , 0.76 , 0.13 , 1.54 , 1.15 , 1.94 , 1.45 , 2.18 , 9.90 , 19.46 , 1.63 , 2.71 , 3.89 , 4.06 , 6.35 , 8.48 , 12.00 , 12.00 , 11.00 , 13.00 , 16.00 
Bahrain, 7.21 , 8.26 , 10.57 , 7.73 , 4.77 , 6.19 , 5.11 , 5.00 , 6.88 , 5.69 , 5.86 , 6.88 , 5.87 , 7.40 , 10.68 , 12.33 , 12.70 , 15.51 , 12.83 , 9.15 , 9.58 , 12.03 , 9.00 , 15.00 , 31.00 , 22.00 , 21.00 
Bangladesh, 0.04 , 0.13 , 0.27 , 1.32 , 0.57 , 4.29 , 1.28 , 1.34 , 10.00 , 2.74 , 3.11 , 10.93 , 4.13 , 5.94 , 6.59 , 5.11 , 6.23 , 9.35 , 10.93 , 6.83 , 6.74 , 12.48 , 9.00 , 9.00 , 16.00 , 19.00 , 23.00 
Brunei Darussalam, 8.43 , 10.13 , 7.94 , 10.54 , 8.66 , 16.05 , 20.01 , 29.03 , 19.59 , 12.23 , 18.16 , 14.40 , 21.81 , 24.26 , 20.86 , 21.15 , 25.78 , 37.98 , 30.60 , 33.57 , 37.24 , 45.92 , 47.00 , 47.00 , 46.00 , 59.00 , 57.00 
Cambodia, -   , -   , 0.43 , 0.43 , 6.80 , 3.90 , 1.40 , 1.20 , 0.99 , 2.25 , 1.46 , 0.76 , 0.69 , 1.33 , 1.72 , 3.43 , 3.40 , 1.66 , 2.20 , 2.03 , 4.99 , 47.32 , 95.00 , 58.00 , 25.00 , 24.00 , 36.00 
"China, People's Republic of", 188.38 , 249.01 , 302.97 , 227.30 , 229.24 , 154.05 , 365.40 , 204.82 , 232.07 , 237.78 , 238.62 , 296.99 , 313.19 , 359.85 , 396.54 , 425.27 , 505.16 , 534.51 , 591.66 , 617.82 , 783.51 ," 1,066.00 "," 1,397.00 "," 1,234.00 "," 1,540.00 "," 1,518.00 "," 2,087.00 "
Cook Islands, -   , 0.06 , 0.08 , 0.05 , 0.01 , 0.02 , 0.02 , 0.01 , 0.07 , 0.04 , 0.03 , 0.02 , 0.05 , 0.05 , 0.07 , 0.11 , 0.15 , 0.13 , 0.45 , 0.05 , 0.11 , 0.05 , -   , 1.00 , 1.00 , 1.00 , 1.00 
Fiji, 1.60 , 1.46 , 1.58 , 2.64 , 1.95 , 4.31 , 3.10 , 2.14 , 2.03 , 2.84 , 2.36 , 8.34 , 11.21 , 2.68 , 3.61 , 6.66 , 1.87 , 2.02 , 0.95 , 1.85 , 1.97 , 1.42 , 1.00 , 2.00 , 2.00 , 2.00 , 2.00 
"Iran, Islamic Rep. of", 3.55 , 5.11 , 2.31 , 5.43 , 0.92 , 0.20 , 0.01 , 0.45 , 2.11 , 2.06 , 2.53 , 7.41 , 4.13 , 12.84 , 32.53 , 43.13 , 61.07 , 35.82 , 69.81 , 66.56 , 145.62 , 137.22 , 156.00 , 108.00 , 82.00 , 102.00 , 161.00 
Iraq, 8.33 , 0.19 , -   , 0.30 , 0.30 , 0.76 , 1.35 , 2.35 , 0.47 , 3.35 , 1.45 , 9.44 , 4.91 , 7.13 , 10.07 , 9.12 , 6.13 , 17.11 , 23.76 , 14.00 , 10.58 , 19.92 , 22.00 , 53.00 , 37.00 , 33.00 , 53.00 
Israel, 272.70 , 340.57 , 453.35 , 468.98 , 478.51 , 449.97 , 461.01 , 462.46 , 522.85 , 451.98 , 357.03 , 429.98 , 394.38 , 431.38 , 460.61 , 504.97 , 593.13 , 586.79 , 592.93 , 513.60 , 657.49 , 647.79 , 662.00 , 639.00 , 592.00 , 620.00 , 599.00 
