Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Saint Vincent & the Grenadines, 0.07 , 0.31 , 0.76 , 0.64 , 0.37 , 0.65 , 0.54 , 0.62 , 0.94 , 0.80 , 0.94 , 0.97 , 1.31 , 1.09 , 0.50 , 0.31 , 0.34 , 0.57 , 0.68 , 0.31 , 0.35 , 0.24 , -   , -   , 1.00 , 1.00 , 1.00 
Virgin Islands (UK), 0.04 , 0.02 , -   , 0.03 , 0.00 , 0.01 , 0.05 , 0.04 , 1.96 , 0.02 , 1.03 , 0.93 , -   , 0.01 , 0.02 , 0.01 , 0.02 , 0.38 , 0.01 , 0.54 , 2.75 , 0.23 , -   , -   , -   , -   , -   
Belize, 4.52 , 4.86 , 5.42 , 5.48 , 5.61 , 9.60 , 9.62 , 14.79 , 10.73 , 7.45 , 13.50 , 9.15 , 11.06 , 1.30 , 1.87 , 0.65 , 3.38 , 2.27 , 1.59 , 1.81 , 2.41 , 2.41 , 4.00 , 6.00 , 9.00 , 14.00 , 14.00 
Bermuda, 4.06 , 4.56 , 4.58 , 4.13 , 4.12 , 3.97 , 6.63 , 4.05 , 4.05 , 4.63 , 4.63 , 4.63 , 8.01 , 0.98 , 1.28 , 1.94 , 2.79 , 1.36 , 1.49 , 2.32 , 2.67 , 4.50 , 4.00 , 6.00 , 10.00 , 8.00 , 5.00 
Albania, 28.42 , 9.28 , 33.33 , 59.69 , 67.80 , 31.30 , 11.27 , 1.65 , 6.25 , 42.14 , 71.32 , 77.21 , 71.47 , 76.16 , 68.86 , 67.48 , 103.34 , 112.72 , 115.35 , 122.17 , 113.65 , 116.81 , 123.00 , 131.00 , 123.00 , 143.00 , 154.00 
Belarus, -   , -   , 5.50 , 10.00 , 30.00 , 64.22 , 28.26 , 79.74 , 14.03 , 12.17 , 26.52 , 28.38 , 32.24 , 64.27 , 92.72 , 163.24 , 210.90 , 257.64 , 290.90 , 170.61 , 179.86 , 158.41 , 201.00 , 200.00 , 257.00 , 259.00 , 275.00 
Bosnia and Herzegovina, -   , -   , 36.60 , 42.70 , 18.85 , 16.45 , 21.79 , 20.04 , 314.48 , 84.37 , 64.80 , 114.16 , 182.90 , 401.47 , 394.69 , 367.92 , 410.80 , 410.08 , 407.66 , 342.34 , 316.98 , 373.27 , 397.00 , 409.00 , 392.00 , 408.00 , 405.00 
Georgia, -   , -   , -   , -   , -   , -   , -   , -   , 44.68 , 50.08 , 42.80 , 34.91 , 34.32 , 42.11 , 80.97 , 86.03 , 81.39 , 127.69 , 92.27 , 134.25 , 137.69 , 147.10 , 155.00 , 168.00 , 168.00 , 184.00 , 187.00 
Gibraltar, 2.52 , 2.50 , 1.00 , 1.00 , 0.60 , 0.67 , 1.69 , 0.88 , 0.88 , 0.17 , 0.42 , 0.12 , 2.49 , 1.03 , 0.91 , 1.04 , 1.65 , 1.36 , 0.99 , 1.23 , 0.79 , 1.89 , -   , 1.00 , -   , -   , -   
Holy See, 2.75 , 3.46 , 3.36 , 2.51 , 2.09 , 1.72 , 1.40 , 1.59 , 1.51 , 1.53 , 1.36 , 0.87 , 1.61 , 1.08 , 1.07 , 0.93 , 0.80 , 0.50 , 0.30 , 0.28 , 0.31 , 0.25 , -   , -   , -   , -   , -   
Iceland, 37.67 , 41.99 , 42.95 , 43.10 , 38.89 , 39.51 , 42.25 , 38.10 , 44.09 , 40.69 , 43.56 , 39.95 , 43.26 , 43.58 , 44.54 , 48.69 , 44.64 , 47.79 , 44.08 , 47.29 , 44.87 , 42.02 , 45.00 , 46.00 , 47.00 , 50.00 , 54.00 
"Macedonia, FYR", -   , -   , 78.76 , 51.26 , 63.29 , 69.85 , 51.39 , 53.16 , 77.08 , 62.42 , 36.67 , 90.12 , 108.00 , 126.42 , 130.53 , 135.96 , 132.21 , 144.50 , 136.40 , 146.26 , 133.42 , 135.38 , 148.00 , 156.00 , 145.00 , 147.00 , 153.00 
Moldova, -   , -   , 5.49 , 0.80 , 0.80 , 1.66 , 2.85 , 5.27 , 4.46 , 2.57 , 3.25 , 13.78 , 12.98 , 22.90 , 8.31 , 11.33 , 15.84 , 25.01 , 27.03 , 27.71 , 34.63 , 38.54 , 40.00 , 39.00 , 45.00 , 40.00 , 51.00 
Montenegro, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 184.42 , 150.31 , 144.69 , 206.21 , 218.98 , 146.71 , 75.00 , 83.00 , 65.00 , 65.00 , 59.00 
Serbia, -   , -   , 482.76 , -   , -   , -   , 179.77 , 307.41 , 466.82 , 451.20 , 644.13 , 672.44 , 747.30 , 772.84 , 859.90 , 653.12 , 613.14 , 619.84 , 690.06 , 577.55 , 555.99 , 585.08 , 605.00 , 580.00 , 594.00 , 511.00 , 547.00 
Ukraine, -   , -   , 23.40 , 13.87 , 83.26 , 185.19 , 269.21 , 170.65 , 135.69 , 265.96 , 184.24 , 232.76 , 443.28 , 650.75 , 744.27 ," 1,032.53 ", 988.95 ," 1,084.62 "," 1,828.96 "," 1,541.07 "," 1,588.25 "," 1,371.74 "," 1,294.00 "," 1,403.00 "," 1,291.00 "," 1,155.00 "," 1,184.00 "
USSR," 2,099.18 "," 1,086.82 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Yugoslavia," 1,033.51 ", 638.38 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Canada," 2,253.48 "," 2,356.15 "," 2,271.01 "," 2,488.92 "," 2,827.13 "," 2,509.89 "," 2,763.46 "," 2,863.89 "," 3,410.34 "," 3,315.16 "," 3,321.07 "," 3,376.95 "," 3,199.32 "," 2,984.95 "," 3,508.85 "," 3,588.62 "," 3,809.04 "," 3,902.24 "," 3,805.38 "," 3,896.48 "," 4,365.80 "," 4,542.11 "," 4,444.00 "," 4,520.00 "," 4,981.00 "," 4,698.00 "," 4,873.00 "
Argentina, 508.36 , 577.46 , 697.76 , 648.85 , 646.42 , 630.23 , 711.56 , 743.12 , 642.51 , 650.07 , 629.21 , 640.72 , 529.05 , 631.93 , 586.12 , 596.01 , 581.41 , 649.07 , 575.93 , 562.32 , 627.98 , 592.01 , 760.00 , 804.00 , 562.00 , 632.00 , 524.00 
Chile, 115.64 , 133.96 , 203.93 , 187.16 , 153.73 , 200.13 , 248.23 , 224.61 , 198.31 , 176.62 , 244.94 , 275.84 , 239.11 , 256.71 , 257.29 , 266.52 , 267.65 , 286.00 , 315.35 , 232.22 , 384.20 , 305.49 , 264.00 , 320.00 , 347.00 , 348.00 , 352.00 
Suriname, 1.94 , 7.00 , 2.93 , 3.71 , 3.46 , 8.06 , 7.69 , 10.14 , 11.18 , 6.65 , 12.13 , 10.82 , 8.91 , 9.84 , 17.31 , 13.50 , 14.33 , 14.43 , 17.05 , 16.65 , 16.21 , 15.90 , 15.00 , 19.00 , 18.00 , 16.00 , 15.00 
Uruguay, 42.26 , 30.19 , 45.54 , 32.31 , 39.98 , 38.92 , 42.06 , 41.98 , 47.83 , 45.09 , 42.71 , 57.08 , 41.33 , 47.85 , 50.62 , 53.22 , 48.43 , 58.45 , 54.85 , 55.82 , 61.69 , 63.09 , 60.00 , 60.00 , 59.00 , 60.00 , 55.00 
European Union," 45,781.00 "," 43,950.00 "," 47,618.00 "," 48,451.00 "," 48,868.00 "," 46,231.00 "," 49,312.00 "," 50,795.00 "," 52,011.00 "," 52,655.00 "," 53,051.00 "," 55,278.00 "," 56,665.00 "," 57,804.00 "," 59,988.00 "," 60,007.00 "," 64,318.00 "," 66,176.00 "," 68,391.00 "," 67,178.00 "," 69,824.00 "," 70,236.00 "," 72,263.00 "," 72,237.00 "," 76,204.00 "," 76,889.00 "," 80,559.00 "
Japan," 5,330.00 "," 5,510.00 "," 5,326.00 "," 5,691.00 "," 6,217.00 "," 5,489.00 "," 5,994.00 "," 5,921.00 "," 6,027.00 "," 6,547.00 "," 6,908.00 "," 6,996.00 "," 7,307.00 "," 6,923.00 "," 7,254.00 "," 7,408.00 "," 7,632.00 "," 7,086.00 "," 7,060.00 "," 7,090.00 "," 7,407.00 "," 7,544.00 "," 7,025.00 "," 8,381.00 "," 7,657.00 "," 8,063.00 "," 8,026.00 "
Norway, 742.00 , 761.00 , 739.00 , 693.00 , 806.00 , 662.00 , 720.00 , 684.00 , 707.00 , 790.00 , 662.00 , 716.00 , 698.00 , 691.00 , 716.00 , 753.00 , 731.00 , 780.00 , 722.00 , 724.00 , 759.00 , 795.00 , 735.00 , 781.00 , 743.00 , 800.00 , 799.00 
Russian Federation,,," 1,382.00 "," 1,795.00 "," 1,726.00 "," 1,728.00 "," 1,128.00 "," 2,185.00 "," 1,732.00 "," 1,368.00 "," 1,890.00 "," 3,057.00 "," 3,504.00 "," 3,772.00 "," 3,205.00 "," 3,336.00 "," 3,465.00 "," 4,318.00 "," 4,053.00 "," 3,553.00 "," 4,155.00 "," 4,218.00 "," 4,175.00 "," 4,410.00 "," 4,747.00 "," 4,710.00 "," 5,233.00 "
Switzerland," 1,171.00 "," 1,130.00 "," 1,101.00 "," 1,060.00 "," 1,099.00 "," 1,017.00 "," 1,112.00 ", 971.00 ," 1,112.00 "," 1,139.00 "," 1,171.00 "," 1,255.00 "," 1,217.00 "," 1,322.00 "," 1,236.00 "," 1,641.00 "," 1,503.00 "," 1,823.00 "," 1,978.00 "," 2,101.00 "," 2,318.00 "," 2,498.00 "," 2,478.00 "," 2,667.00 "," 2,643.00 "," 2,748.00 "," 2,816.00 "
Tunisia, 101.00 , 90.00 , 111.00 , 101.00 , 137.00 , 137.00 , 144.00 , 165.00 , 147.00 , 186.00 , 192.00 , 233.00 , 236.00 , 123.00 , 264.00 , 190.00 , 209.00 , 253.00 , 318.00 , 289.00 , 304.00 , 429.00 , 439.00 , 439.00 , 460.00 , 459.00 , 466.00 
USA," 21,007.00 "," 19,840.00 "," 22,939.00 "," 19,329.00 "," 16,171.00 "," 17,107.00 "," 19,445.00 "," 20,343.00 "," 21,030.00 "," 22,746.00 "," 23,767.00 "," 21,415.00 "," 21,639.00 "," 22,760.00 "," 23,184.00 "," 23,042.00 "," 23,709.00 "," 24,219.00 "," 24,277.00 "," 23,578.00 "," 24,378.00 "," 26,093.00 "," 26,056.00 "," 27,016.00 "," 27,565.00 "," 27,708.00 "," 28,838.00 "
